daydatetime,link_id,speed_offset
2016-03-26 00:00:00,8663,0.0291262
2016-03-26 00:00:00,4422,0.383838
2016-03-26 00:00:00,8893,0
2016-03-26 00:00:00,7169,0
2016-03-26 00:00:00,3125,0
2016-03-26 00:00:00,1234,0
2016-03-26 00:00:00,9425,0
2016-03-26 00:00:00,9141,0
2016-03-26 00:00:00,1774,0
2016-03-26 00:00:00,4525,0
2016-03-26 00:00:00,5615,0
2016-03-26 00:00:00,6169,0
2016-03-26 00:00:00,0334,0
2016-03-26 00:00:00,4653,0
2016-03-26 00:00:00,8738,0
2016-03-26 00:00:00,6334,0
2016-03-26 00:00:00,7141,0
2016-03-26 00:00:00,1959,0
2016-03-26 00:00:00,7674,0
2016-03-26 00:00:00,4838,0
2016-03-26 00:00:00,6615,0
2016-03-26 00:00:00,2776,0.532468
2016-03-26 00:00:00,2969,0.538462
2016-03-26 00:00:00,5759,0.0714286
2016-03-26 00:00:00,8593,0.56
2016-03-26 00:00:00,5525,0.222222
2016-03-26 00:00:00,7959,0.215686
2016-03-26 00:00:00,0969,0.119266
2016-03-26 00:00:00,8228,-0.0865385
2016-03-26 00:00:00,0241,0.040404
2016-03-26 00:00:00,2959,-0.213115
2016-03-26 00:00:00,4028,0.70339
2016-03-26 00:00:00,0234,-0.126126
2016-03-26 00:00:00,1518,0.197531
2016-03-26 00:00:00,2141,-0.00847453
2016-03-26 00:00:00,0815,0.677083
2016-03-26 00:00:00,4514,0.329787
2016-03-26 00:00:00,9869,-0.274725
2016-03-26 00:00:00,3959,0.0645162
2016-03-26 00:00:00,3328,0.0833333
2016-03-26 00:00:00,8425,0.0752688
2016-03-26 00:00:00,4555,-0.428571
2016-03-26 00:00:00,5434,0.178571
2016-03-26 00:00:00,2759,-0.0144927
2016-03-26 00:00:00,7243,0.076923
2016-03-26 00:00:00,1784,-0.213483
2016-03-26 00:00:00,2653,0
2016-03-26 00:00:00,7663,0.746835
2016-03-26 00:00:00,1041,-0.464286
2016-03-26 00:00:00,8175,0.201835
2016-03-26 00:00:00,7063,0.128205
2016-03-26 00:00:00,0863,0.155963
2016-03-26 00:00:00,9228,-0.19
2016-03-26 00:00:00,2541,0.170455
2016-03-26 00:00:00,2769,0.421687
2016-03-26 00:00:00,7425,-0.0495049
2016-03-26 00:00:00,5041,-0.575472
2016-03-26 00:00:00,0784,-0.105263
2016-03-26 00:00:00,0763,-0.480392
2016-03-26 00:00:00,5681,0.12963
2016-03-26 00:00:00,5032,0.0526315
2016-03-26 00:00:00,6525,0.0515464
2016-03-26 00:00:00,0395,-0.459016
2016-03-26 00:00:00,8234,-0.116667
2016-03-26 00:00:00,9244,0.144231
2016-03-26 00:00:00,1763,-0.59375
2016-03-26 00:00:00,9813,0.704082
2016-03-26 00:00:00,2815,0.28
2016-03-26 00:00:00,5141,-0.0441176
2016-03-26 00:00:00,9175,0.111111
2016-03-26 00:00:00,1969,0.176471
2016-03-26 00:00:00,3776,0.402174
2016-03-26 00:00:00,4959,0.216867
2016-03-26 00:00:00,0344,-0.00900896
2016-03-26 00:00:00,0913,0.23301
2016-03-26 00:00:00,4769,-0.12963
2016-03-26 00:00:00,7869,0.485714
2016-03-26 00:00:00,5343,0.398148
2016-03-26 00:00:00,8194,0.42268
2016-03-26 00:00:00,4594,0.0769232
2016-03-26 00:00:00,3422,0.042735
2016-03-26 00:00:00,6343,0.866667
2016-03-26 00:00:00,9243,-0.135922
2016-03-26 00:00:00,9863,0.532609
2016-03-26 00:00:00,7863,-0.402299
2016-03-26 00:00:00,0028,-0.435644
2016-03-26 00:00:00,1241,0.583333
2016-03-26 00:00:00,6681,-0.0447761
2016-03-26 00:00:00,6141,-0.0757576
2016-03-26 00:00:00,5934,0.375
2016-03-26 00:00:00,7194,0.333333
2016-03-26 00:00:00,6918,-0.365854
2016-03-26 00:00:00,8869,0.744681
2016-03-26 00:00:00,5334,0.794521
2016-03-26 00:00:00,8063,-0.165049
2016-03-26 00:00:00,6032,0.339623
2016-03-26 00:00:00,9525,0.0196078
2016-03-26 00:00:00,9041,-0.141593
2016-03-26 00:00:00,4395,-0.878049
2016-03-26 00:00:00,0329,0.0862069
2016-03-26 00:00:00,4141,0.0186916
2016-03-26 00:00:00,6041,-1.30769
2016-03-26 00:00:00,3525,-0.00793646
2016-03-26 00:00:00,5594,0.150685
2016-03-26 00:00:00,2763,-1.36364
2016-03-26 00:00:00,9044,0.0823529
2016-03-26 00:00:00,8243,0.575
2016-03-26 00:00:00,1141,0.112903
2016-03-26 00:00:00,9674,0.157303
2016-03-26 00:00:00,0141,0.169492
2016-03-26 00:00:00,3815,-0.121212
2016-03-26 00:00:00,4759,-0.0641026
2016-03-26 00:00:00,3141,0.0990991
2016-03-26 00:00:00,3759,0.15
2016-03-26 00:00:00,6566,0.277108
2016-03-26 00:00:00,5566,-0.142857
2016-03-26 00:00:00,7886,0.0608695
2016-03-26 00:00:00,0163,0.551282
2016-03-26 00:00:00,9434,0.101124
2016-03-26 00:00:00,2328,-0.465909
2016-03-26 00:00:00,9663,-0.0849056
2016-03-26 00:00:00,2532,-0.147826
2016-03-26 00:00:00,9063,0.091954
2016-03-26 00:00:00,1555,-0.578313
2016-03-26 00:00:00,1741,-0.0568182
2016-03-26 00:00:00,3769,0.283951
2016-03-26 00:00:00,2418,0.047619
2016-03-26 00:00:00,8959,0.097826
2016-03-26 00:00:00,6843,0.142857
2016-03-26 00:00:00,8421,0.321429
2016-03-26 00:00:00,7934,0.21978
2016-03-26 00:00:00,8041,-0.147541
2016-03-26 00:02:00,7886,-0.234783
2016-03-26 00:02:00,2653,0.00787397
2016-03-26 00:02:00,0329,0.0862069
2016-03-26 00:02:00,6041,-1.18462
2016-03-26 00:02:00,6681,-0.0447761
2016-03-26 00:02:00,5434,-0.0714286
2016-03-26 00:02:00,5759,0.0714286
